name,alias,addr,lat,lon,tel,link,menu,flag,media,url,type
"중경식객 홍대점",,"서울특별시 마포구 동교동 164-20 2층",37.556094,126.9240934,0507-1371-5865,"훠궈 (양고기, 소고기, 야채), 2가지 육수","[평일점심] 15,800 [저녁및주말] 19,800원|2025.02",,,,restaurant
"별자리마라탕&훠궈",홍대점,"서울시 마포구 서교동 346-36 (지하1층)",37.5550216,126.9237159,02-322-0589,"훠궈 (양고기, 소고기, 돼지고기, 해산물, 야채), 5가지육수중 택2","19,800원|2025.02",,,,restaurant
"훠궈나라",홍대직영점,"서울시 마포구 어울마당로 133",37.5562566,126.9246488,02-322-1592,"(혼밥 2,000원+) 훠궈 (양고기, 소고기, 돼지고기, 해산물, 야채), 4가지육수중 택2","[평일점심] 15,800 [저녁및주말] 19,800원|2025.02",,,,restaurant
